plant_v,LDR,PH_value,VOC,Leaf_Temperature,Ambient_temperature,Nitrogen_N,phosphorus_P,potassium_K,Soil_Moisture,Scenario,Class
1.62,Bright,4.8,12 ppm,12.5C,10.3C,22,19,80,55,Normal monitoring,Nutrient Deficiency
1.65,Dark,4.8,10 ppm,38.0C,35.5C,36,11,89,64,Normal monitoring,Nutrient Deficiency
1.67,Bright,4.9,11 ppm,35.1C,34.5C,37,12,110,60,Normal monitoring,Nutrient Deficiency
1.68,Bright,5.9,9 ppm,35.8C,33.6C,77,49,214,61,Normal monitoring,Healthy
1.63,Bright,5.9,24 ppm,36.9C,31.1C,45,17,108,19,Normal monitoring,Water Stress
1.67,Bright,3.6,38 ppm,39.8C,33.6C,53,34,164,72,Viral infection,Disease
1.65,Dim,3.9,55 ppm,41.6C,32.4C,61,32,139,68,Viral infection,Disease
1.68,Dim,5.4,14 ppm,31.6C,28.4C,29,16,98,52,Normal monitoring,Nutrient Deficiency
1.67,Bright,5.1,16 ppm,36.6C,33.1C,31,16,98,63,Normal monitoring,Nutrient Deficiency
1.67,Bright,3.9,37 ppm,31.2C,22.5C,73,36,185,76,Bacterial infection,Disease
1.66,Dim,4.0,56 ppm,36.2C,26.8C,63,32,182,72,Bacterial infection,Disease
1.67,Bright,6.5,13 ppm,34.0C,32.5C,85,45,205,63,Normal monitoring,Healthy
1.71,Bright,4.5,12 ppm,34.2C,30.6C,22,18,81,50,Normal monitoring,Nutrient Deficiency
1.68,Bright,5.9,16 ppm,23.9C,16.7C,44,19,98,10,Normal monitoring,Water Stress
1.65,Bright,4.1,48 ppm,40.1C,33.0C,71,31,176,78,Fungal infection,Disease
1.66,Bright,4.6,17 ppm,37.6C,36.8C,32,12,82,64,Normal monitoring,Nutrient Deficiency
1.61,Dark,5.9,21 ppm,40.3C,34.0C,49,19,127,14,Normal monitoring,Water Stress
1.66,Dark,4.7,18 ppm,20.7C,17.3C,36,16,84,56,Normal monitoring,Nutrient Deficiency
1.69,Bright,5.7,18 ppm,28.1C,21.7C,48,22,93,16,Normal monitoring,Water Stress
1.64,Dim,5.6,17 ppm,39.9C,34.0C,49,18,96,25,Normal monitoring,Water Stress
1.6,Bright,6.3,8 ppm,37.9C,36.7C,75,37,197,62,Normal monitoring,Healthy
1.61,Bright,5.4,15 ppm,21.3C,18.8C,32,15,80,58,Normal monitoring,Nutrient Deficiency
1.62,Dim,4.5,41 ppm,37.0C,31.9C,64,33,157,71,Fungal infection,Disease
1.66,Bright,4.7,10 ppm,16.3C,14.3C,25,17,105,60,Normal monitoring,Nutrient Deficiency
1.63,Dim,5.6,23 ppm,40.8C,34.4C,36,19,99,19,Normal monitoring,Water Stress
1.63,Dim,3.9,44 ppm,42.9C,33.7C,65,30,192,68,Pest infection,Disease
1.65,Bright,4.6,10 ppm,37.2C,37.0C,47,11,87,64,Normal monitoring,Nutrient Deficiency
1.72,Bright,6.2,10 ppm,37.2C,37.2C,88,45,215,64,Normal monitoring,Healthy
1.63,Dim,5.9,16 ppm,32.8C,27.6C,49,17,111,29,Normal monitoring,Water Stress
1.63,Bright,5.0,10 ppm,15.8C,14.5C,49,18,96,51,Normal monitoring,Nutrient Deficiency
1.66,Bright,4.3,37 ppm,19.2C,13.5C,66,29,153,79,Viral infection,Disease
1.63,Bright,5.9,7 ppm,21.8C,21.7C,78,45,207,69,Normal monitoring,Healthy
1.62,Bright,4.5,59 ppm,39.5C,30.7C,64,26,172,67,Pest infection,Disease
1.67,Dark,5.7,24 ppm,42.7C,35.8C,39,27,108,28,Normal monitoring,Water Stress
1.66,Dim,6.0,23 ppm,41.5C,34.3C,42,28,120,26,Normal monitoring,Water Stress
1.69,Bright,5.1,12 ppm,38.2C,34.5C,34,18,103,50,Normal monitoring,Nutrient Deficiency
1.64,Bright,4.2,35 ppm,41.5C,33.6C,75,28,154,71,Bacterial infection,Disease
1.71,Bright,5.5,20 ppm,41.3C,35.5C,43,18,115,20,Normal monitoring,Water Stress
1.65,Bright,3.7,50 ppm,33.9C,29.7C,67,35,180,66,Bacterial infection,Disease
1.65,Bright,4.4,55 ppm,32.9C,27.0C,62,34,172,77,Pest infection,Disease
1.6,Dark,4.2,39 ppm,39.1C,32.7C,64,34,187,76,Bacterial infection,Disease
1.64,Bright,3.8,63 ppm,32.9C,29.7C,71,28,161,74,Fungal infection,Disease
1.61,Bright,3.6,51 ppm,36.9C,27.4C,73,39,182,74,Pest infection,Disease
1.61,Bright,3.6,45 ppm,40.3C,35.0C,63,36,183,76,Bacterial infection,Disease
1.66,Bright,5.9,12 ppm,32.3C,30.7C,76,38,211,64,Normal monitoring,Healthy
1.61,Dim,6.0,9 ppm,29.9C,28.2C,81,42,212,68,Normal monitoring,Healthy
1.63,Bright,5.7,17 ppm,26.2C,19.3C,42,23,104,17,Normal monitoring,Water Stress
1.6,Bright,5.8,15 ppm,28.6C,22.2C,45,17,115,16,Normal monitoring,Water Stress
1.67,Bright,4.6,11 ppm,30.0C,27.0C,47,14,119,55,Normal monitoring,Nutrient Deficiency
1.62,Bright,5.6,17 ppm,27.0C,20.0C,47,28,103,20,Normal monitoring,Water Stress
1.67,Dim,5.5,16 ppm,27.4C,26.1C,34,15,111,51,Normal monitoring,Nutrient Deficiency
1.67,Bright,5.5,15 ppm,21.5C,15.4C,37,17,118,14,Normal monitoring,Water Stress
1.58,Dim,3.6,53 ppm,43.0C,34.2C,60,27,171,72,Bacterial infection,Disease
1.62,Dim,5.7,19 ppm,23.6C,16.9C,39,16,99,25,Normal monitoring,Water Stress
1.69,Bright,5.2,19 ppm,33.9C,32.5C,32,12,109,63,Normal monitoring,Nutrient Deficiency
1.62,Dark,4.9,10 ppm,18.2C,15.1C,34,10,115,63,Normal monitoring,Nutrient Deficiency
1.67,Bright,6.0,24 ppm,24.6C,17.1C,41,26,99,11,Normal monitoring,Water Stress
1.68,Bright,5.6,19 ppm,22.3C,15.8C,43,27,91,16,Normal monitoring,Water Stress
1.67,Bright,5.9,5 ppm,35.4C,35.2C,87,46,219,63,Normal monitoring,Healthy
1.66,Dim,4.5,16 ppm,29.2C,28.1C,22,16,106,62,Normal monitoring,Nutrient Deficiency
1.66,Bright,4.8,14 ppm,32.3C,28.7C,24,10,104,54,Normal monitoring,Nutrient Deficiency
1.65,Bright,5.2,10 ppm,40.2C,36.7C,42,12,116,53,Normal monitoring,Nutrient Deficiency
1.69,Bright,3.4,55 ppm,36.7C,33.3C,79,28,195,75,Bacterial infection,Disease
1.68,Bright,5.6,22 ppm,42.7C,37.2C,46,23,104,13,Normal monitoring,Water Stress
1.62,Bright,4.9,13 ppm,30.0C,29.0C,21,19,103,63,Normal monitoring,Nutrient Deficiency
1.68,Bright,5.2,15 ppm,23.8C,23.3C,45,19,99,61,Normal monitoring,Nutrient Deficiency
1.64,Dark,6.1,12 ppm,31.7C,31.6C,77,35,219,66,Normal monitoring,Healthy
1.72,Bright,5.7,15 ppm,32.8C,26.0C,39,17,124,29,Normal monitoring,Water Stress
1.61,Dim,5.7,24 ppm,35.6C,29.0C,39,19,95,16,Normal monitoring,Water Stress
1.62,Dim,6.0,10 ppm,22.6C,21.1C,79,36,211,57,Normal monitoring,Healthy
1.7,Bright,4.8,15 ppm,21.1C,17.9C,20,17,119,63,Normal monitoring,Nutrient Deficiency
1.67,Bright,6.3,10 ppm,33.0C,31.3C,86,39,195,64,Normal monitoring,Healthy
1.64,Bright,3.7,61 ppm,42.4C,35.2C,78,33,194,80,Fungal infection,Disease
1.65,Bright,4.9,12 ppm,29.9C,28.7C,22,12,97,62,Normal monitoring,Nutrient Deficiency
1.61,Bright,4.6,10 ppm,33.9C,31.5C,30,14,100,56,Normal monitoring,Nutrient Deficiency
1.65,Bright,6.0,8 ppm,15.0C,13.2C,78,40,212,64,Normal monitoring,Healthy
1.66,Dim,4.8,10 ppm,37.5C,35.5C,34,17,104,59,Normal monitoring,Nutrient Deficiency
1.68,Bright,3.9,35 ppm,38.6C,29.6C,59,31,162,75,Viral infection,Disease
1.63,Dark,6.0,14 ppm,14.9C,15.0C,79,39,206,68,Normal monitoring,Healthy
1.62,Dim,3.9,35 ppm,34.7C,25.5C,70,26,195,78,Pest infection,Disease
1.64,Dim,5.1,16 ppm,34.8C,33.9C,36,11,85,63,Normal monitoring,Nutrient Deficiency
1.68,Bright,5.8,12 ppm,23.7C,24.6C,79,48,219,63,Normal monitoring,Healthy
1.66,Dim,4.9,14 ppm,24.5C,22.8C,40,13,108,64,Normal monitoring,Nutrient Deficiency
1.66,Dim,6.2,5 ppm,25.7C,24.2C,87,43,204,55,Normal monitoring,Healthy
1.67,Bright,4.9,16 ppm,19.9C,16.8C,22,19,93,59,Normal monitoring,Nutrient Deficiency
1.6,Bright,5.7,17 ppm,38.5C,33.1C,35,16,126,22,Normal monitoring,Water Stress
1.67,Bright,6.2,5 ppm,13.0C,12.8C,85,41,193,57,Normal monitoring,Healthy
1.67,Bright,5.7,21 ppm,37.0C,29.9C,36,21,93,14,Normal monitoring,Water Stress
1.62,Bright,6.3,5 ppm,23.1C,20.3C,79,37,206,69,Normal monitoring,Healthy
1.63,Dim,5.7,15 ppm,41.1C,33.5C,39,16,107,24,Normal monitoring,Water Stress
1.63,Bright,4.4,43 ppm,32.4C,27.5C,76,39,191,70,Fungal infection,Disease
1.63,Bright,5.8,24 ppm,20.6C,15.6C,36,24,111,22,Normal monitoring,Water Stress
1.64,Bright,3.7,53 ppm,43.4C,35.9C,69,25,185,84,Fungal infection,Disease
1.62,Bright,6.3,11 ppm,36.5C,35.1C,76,36,194,58,Normal monitoring,Healthy
1.63,Bright,4.1,32 ppm,24.9C,16.4C,63,38,136,74,Viral infection,Disease
1.64,Dim,3.9,38 ppm,40.8C,32.9C,58,37,161,79,Viral infection,Disease
1.66,Dim,5.2,10 ppm,18.2C,16.5C,23,17,89,50,Normal monitoring,Nutrient Deficiency
1.63,Bright,3.7,30 ppm,38.2C,34.4C,77,34,190,70,Pest infection,Disease
1.67,Dim,5.2,13 ppm,19.3C,18.0C,23,14,84,59,Normal monitoring,Nutrient Deficiency
1.68,Dim,4.7,13 ppm,37.5C,34.0C,36,15,114,52,Normal monitoring,Nutrient Deficiency
1.64,Bright,3.6,48 ppm,27.7C,24.7C,64,31,154,79,Pest infection,Disease
1.66,Dark,3.8,51 ppm,37.9C,32.3C,74,25,191,70,Bacterial infection,Disease
1.62,Dim,4.1,44 ppm,32.5C,23.9C,71,29,159,76,Pest infection,Disease
1.66,Dim,4.7,11 ppm,33.6C,33.1C,29,15,80,60,Normal monitoring,Nutrient Deficiency
1.62,Bright,5.8,22 ppm,24.4C,16.8C,47,21,119,27,Normal monitoring,Water Stress
1.66,Bright,5.8,15 ppm,38.8C,33.4C,47,26,118,25,Normal monitoring,Water Stress
1.64,Bright,5.7,20 ppm,30.6C,22.9C,47,20,124,16,Normal monitoring,Water Stress
1.64,Bright,6.1,6 ppm,14.6C,13.7C,83,39,195,64,Normal monitoring,Healthy
1.64,Bright,3.6,39 ppm,27.6C,23.9C,79,38,181,77,Pest infection,Disease
1.68,Dark,4.8,14 ppm,17.5C,16.2C,37,15,110,52,Normal monitoring,Nutrient Deficiency
1.6,Bright,5.9,23 ppm,24.7C,17.1C,38,26,99,15,Normal monitoring,Water Stress
1.65,Dark,4.2,64 ppm,34.9C,30.6C,65,31,192,73,Fungal infection,Disease
1.65,Bright,6.3,13 ppm,36.9C,38.1C,83,44,214,69,Normal monitoring,Healthy
1.67,Bright,5.3,11 ppm,35.5C,34.4C,36,18,102,53,Normal monitoring,Nutrient Deficiency
1.69,Bright,6.2,11 ppm,28.6C,27.6C,82,47,199,69,Normal monitoring,Healthy
1.64,Dim,5.2,16 ppm,38.7C,35.9C,39,14,102,60,Normal monitoring,Nutrient Deficiency
1.68,Bright,6.3,7 ppm,38.2C,37.3C,87,37,190,57,Normal monitoring,Healthy
1.67,Dim,6.4,14 ppm,33.8C,31.6C,76,49,201,63,Normal monitoring,Healthy
1.66,Bright,4.4,56 ppm,17.6C,14.2C,72,25,191,83,Fungal infection,Disease
1.62,Dim,6.1,8 ppm,13.4C,14.1C,87,39,197,62,Normal monitoring,Healthy
1.71,Bright,6.3,12 ppm,14.6C,15.3C,75,46,216,63,Normal monitoring,Healthy
1.62,Dim,5.0,13 ppm,33.7C,30.8C,28,13,80,53,Normal monitoring,Nutrient Deficiency
1.65,Dim,3.2,51 ppm,28.3C,18.8C,60,34,154,69,Bacterial infection,Disease
1.68,Bright,6.3,13 ppm,29.0C,30.2C,88,37,205,68,Normal monitoring,Healthy
1.67,Bright,5.8,19 ppm,41.0C,34.4C,43,25,91,18,Normal monitoring,Water Stress
1.69,Bright,3.8,57 ppm,45.4C,36.5C,75,27,192,73,Pest infection,Disease
1.65,Bright,5.1,17 ppm,34.7C,32.2C,35,14,94,54,Normal monitoring,Nutrient Deficiency
1.69,Bright,3.5,63 ppm,38.2C,31.0C,75,36,178,83,Fungal infection,Disease
1.65,Dark,4.7,12 ppm,32.6C,30.4C,34,18,82,54,Normal monitoring,Nutrient Deficiency
1.63,Bright,3.9,49 ppm,26.0C,19.4C,68,37,161,67,Pest infection,Disease
1.69,Dim,4.0,54 ppm,30.2C,23.6C,65,34,194,79,Pest infection,Disease
1.72,Dark,4.3,59 ppm,42.2C,33.5C,59,27,138,70,Viral infection,Disease
1.63,Dim,4.1,36 ppm,29.0C,20.3C,77,26,176,70,Bacterial infection,Disease
1.66,Bright,6.1,14 ppm,27.9C,28.7C,76,35,212,61,Normal monitoring,Healthy
1.66,Bright,4.5,13 ppm,22.7C,19.1C,34,18,87,52,Normal monitoring,Nutrient Deficiency
1.62,Dim,4.9,16 ppm,27.1C,23.7C,27,10,117,62,Normal monitoring,Nutrient Deficiency
1.64,Dark,5.3,19 ppm,18.7C,18.6C,21,12,86,50,Normal monitoring,Nutrient Deficiency
1.69,Bright,6.1,6 ppm,21.4C,18.7C,76,40,203,60,Normal monitoring,Healthy
1.61,Dim,6.0,6 ppm,21.9C,21.1C,88,41,216,65,Normal monitoring,Healthy
1.66,Bright,6.4,5 ppm,36.6C,34.1C,84,40,201,62,Normal monitoring,Healthy
1.65,Bright,4.0,49 ppm,43.0C,36.1C,65,37,193,69,Bacterial infection,Disease
1.71,Dim,5.7,19 ppm,21.1C,13.5C,41,27,101,10,Normal monitoring,Water Stress
1.67,Bright,5.2,14 ppm,37.6C,35.3C,29,14,103,55,Normal monitoring,Nutrient Deficiency
1.66,Bright,4.4,59 ppm,39.8C,30.1C,62,37,150,65,Viral infection,Disease
1.72,Dim,5.7,24 ppm,45.0C,37.5C,43,15,90,12,Normal monitoring,Water Stress
1.69,Bright,6.4,10 ppm,23.1C,20.8C,86,49,206,64,Normal monitoring,Healthy
1.7,Bright,4.5,11 ppm,15.1C,14.8C,47,17,118,54,Normal monitoring,Nutrient Deficiency
1.68,Bright,4.9,19 ppm,36.9C,33.8C,39,11,98,63,Normal monitoring,Nutrient Deficiency
1.64,Bright,4.8,12 ppm,32.2C,32.0C,33,15,102,58,Normal monitoring,Nutrient Deficiency
1.59,Bright,5.0,17 ppm,16.9C,15.8C,39,15,98,54,Normal monitoring,Nutrient Deficiency
1.62,Bright,5.5,10 ppm,35.3C,33.1C,48,10,84,51,Normal monitoring,Nutrient Deficiency
1.66,Dim,6.4,9 ppm,21.1C,22.1C,81,39,190,67,Normal monitoring,Healthy
1.66,Bright,5.9,10 ppm,38.8C,36.4C,85,38,209,59,Normal monitoring,Healthy
1.66,Bright,5.9,6 ppm,34.6C,34.6C,87,47,206,61,Normal monitoring,Healthy
1.69,Bright,6.5,9 ppm,33.6C,33.5C,87,42,193,63,Normal monitoring,Healthy
1.7,Dim,4.2,43 ppm,39.2C,34.7C,74,28,193,69,Pest infection,Disease
1.62,Bright,6.5,14 ppm,19.0C,17.6C,85,43,198,59,Normal monitoring,Healthy
1.65,Bright,6.2,6 ppm,33.2C,33.4C,88,45,202,65,Normal monitoring,Healthy
1.58,Dim,5.2,15 ppm,34.0C,31.8C,22,15,95,63,Normal monitoring,Nutrient Deficiency
1.63,Bright,6.2,8 ppm,19.0C,16.7C,78,44,193,68,Normal monitoring,Healthy
1.65,Dim,5.9,9 ppm,33.4C,32.6C,78,37,215,69,Normal monitoring,Healthy
1.63,Bright,5.8,21 ppm,38.7C,31.2C,49,26,108,19,Normal monitoring,Water Stress
1.69,Bright,4.8,15 ppm,38.1C,35.2C,22,19,83,62,Normal monitoring,Nutrient Deficiency
1.63,Bright,5.2,12 ppm,22.1C,18.5C,31,13,89,61,Normal monitoring,Nutrient Deficiency
1.6,Bright,5.9,9 ppm,33.7C,34.5C,80,39,214,55,Normal monitoring,Healthy
1.68,Dim,4.8,12 ppm,28.6C,25.9C,31,14,84,58,Normal monitoring,Nutrient Deficiency
1.62,Dim,4.5,14 ppm,37.3C,34.7C,24,11,88,61,Normal monitoring,Nutrient Deficiency
1.65,Dim,5.8,21 ppm,44.8C,38.0C,49,28,106,13,Normal monitoring,Water Stress
1.66,Bright,4.7,15 ppm,24.3C,23.2C,22,19,116,50,Normal monitoring,Nutrient Deficiency
1.64,Bright,4.3,51 ppm,31.8C,24.1C,60,36,167,75,Pest infection,Disease
1.66,Bright,5.1,14 ppm,36.6C,33.0C,34,10,104,58,Normal monitoring,Nutrient Deficiency
1.67,Bright,5.6,16 ppm,23.4C,15.9C,45,19,122,21,Normal monitoring,Water Stress
1.66,Bright,6.0,13 ppm,33.4C,33.8C,76,49,197,64,Normal monitoring,Healthy
1.68,Bright,5.1,13 ppm,16.2C,15.8C,37,14,104,52,Normal monitoring,Nutrient Deficiency
1.68,Bright,5.8,13 ppm,35.4C,35.7C,88,44,219,61,Normal monitoring,Healthy
1.7,Bright,5.7,15 ppm,41.2C,35.7C,45,21,93,24,Normal monitoring,Water Stress
1.64,Dim,4.1,56 ppm,44.4C,36.0C,77,34,164,69,Bacterial infection,Disease
1.7,Dim,5.8,15 ppm,21.9C,15.4C,39,27,94,15,Normal monitoring,Water Stress
1.64,Bright,4.7,11 ppm,34.8C,31.1C,26,12,110,53,Normal monitoring,Nutrient Deficiency
1.64,Dim,5.5,15 ppm,36.1C,30.9C,39,27,121,25,Normal monitoring,Water Stress
1.7,Bright,3.5,49 ppm,45.7C,37.0C,68,28,184,79,Fungal infection,Disease
1.65,Bright,5.4,14 ppm,24.1C,21.3C,30,11,94,50,Normal monitoring,Nutrient Deficiency
1.67,Bright,6.4,9 ppm,23.4C,23.0C,77,35,217,65,Normal monitoring,Healthy
1.66,Dim,4.9,19 ppm,23.5C,21.9C,33,17,92,58,Normal monitoring,Nutrient Deficiency
1.62,Bright,5.8,24 ppm,25.4C,17.4C,43,21,99,10,Normal monitoring,Water Stress
1.67,Dim,6.0,12 ppm,21.6C,18.7C,81,39,199,64,Normal monitoring,Healthy
1.61,Bright,3.6,61 ppm,36.6C,33.5C,76,34,172,81,Fungal infection,Disease
1.63,Dim,4.9,13 ppm,28.7C,25.4C,35,19,82,53,Normal monitoring,Nutrient Deficiency
1.67,Bright,6.4,8 ppm,23.2C,21.2C,78,48,212,64,Normal monitoring,Healthy
1.66,Dim,5.5,16 ppm,34.7C,33.6C,48,11,88,56,Normal monitoring,Nutrient Deficiency
1.64,Bright,4.7,17 ppm,23.3C,22.2C,22,19,88,61,Normal monitoring,Nutrient Deficiency
1.65,Dark,5.9,9 ppm,35.5C,34.0C,89,46,217,69,Normal monitoring,Healthy
1.65,Bright,4.6,10 ppm,37.3C,34.1C,26,17,101,50,Normal monitoring,Nutrient Deficiency
1.7,Bright,3.4,37 ppm,28.5C,25.4C,74,32,186,71,Bacterial infection,Disease
1.66,Dim,6.2,10 ppm,17.0C,15.1C,82,36,211,67,Normal monitoring,Healthy
1.66,Dim,6.3,9 ppm,35.7C,34.8C,87,45,205,65,Normal monitoring,Healthy
1.69,Dim,4.5,10 ppm,32.2C,28.4C,31,15,91,52,Normal monitoring,Nutrient Deficiency
1.62,Dim,3.4,54 ppm,38.0C,34.2C,68,33,170,76,Bacterial infection,Disease
1.62,Dim,5.9,12 ppm,20.7C,19.0C,76,40,208,58,Normal monitoring,Healthy
1.69,Bright,5.6,18 ppm,20.1C,14.6C,48,19,101,14,Normal monitoring,Water Stress
1.61,Bright,4.5,11 ppm,36.9C,33.3C,31,11,91,58,Normal monitoring,Nutrient Deficiency
1.65,Dim,5.8,24 ppm,30.2C,24.1C,47,27,110,14,Normal monitoring,Water Stress
1.62,Bright,3.2,42 ppm,30.8C,27.0C,77,25,156,66,Bacterial infection,Disease
1.67,Bright,3.9,58 ppm,25.0C,20.3C,65,27,178,72,Bacterial infection,Disease
1.61,Bright,5.8,18 ppm,42.2C,35.4C,40,16,117,28,Normal monitoring,Water Stress
1.69,Bright,5.3,17 ppm,35.3C,34.7C,35,14,95,53,Normal monitoring,Nutrient Deficiency
1.6,Bright,6.0,6 ppm,37.8C,35.9C,88,49,216,57,Normal monitoring,Healthy
1.7,Bright,5.9,17 ppm,38.8C,33.5C,37,26,118,27,Normal monitoring,Water Stress
1.64,Dim,6.2,14 ppm,16.5C,18.2C,89,35,212,61,Normal monitoring,Healthy
1.67,Dim,5.7,24 ppm,38.8C,32.6C,45,24,121,19,Normal monitoring,Water Stress
1.65,Dim,4.6,19 ppm,39.0C,35.3C,35,15,91,52,Normal monitoring,Nutrient Deficiency
1.66,Dim,5.7,18 ppm,37.6C,31.9C,44,23,127,22,Normal monitoring,Water Stress
1.65,Dim,5.7,19 ppm,34.2C,28.6C,41,22,114,22,Normal monitoring,Water Stress
1.63,Dim,5.8,11 ppm,29.8C,31.6C,85,41,210,58,Normal monitoring,Healthy
1.66,Bright,4.6,12 ppm,37.6C,36.4C,21,10,100,51,Normal monitoring,Nutrient Deficiency
1.63,Bright,6.3,14 ppm,29.9C,31.8C,86,40,194,60,Normal monitoring,Healthy
1.61,Bright,5.8,11 ppm,34.2C,32.2C,77,45,212,60,Normal monitoring,Healthy
1.64,Bright,6.5,7 ppm,37.3C,37.0C,85,47,216,64,Normal monitoring,Healthy
1.72,Dim,5.8,9 ppm,30.9C,32.0C,81,38,194,60,Normal monitoring,Healthy
1.64,Bright,4.7,12 ppm,40.8C,37.3C,30,19,86,50,Normal monitoring,Nutrient Deficiency
1.64,Dim,5.6,19 ppm,41.8C,33.8C,49,25,105,10,Normal monitoring,Water Stress
1.64,Bright,3.4,46 ppm,43.3C,36.2C,72,29,194,79,Bacterial infection,Disease
1.66,Dim,5.0,13 ppm,21.3C,19.2C,37,11,100,59,Normal monitoring,Nutrient Deficiency
1.64,Bright,6.0,8 ppm,12.8C,12.9C,82,35,190,69,Normal monitoring,Healthy
1.65,Bright,3.6,54 ppm,26.3C,16.7C,73,36,190,68,Pest infection,Disease
1.6,Bright,5.0,14 ppm,38.2C,37.2C,28,19,86,50,Normal monitoring,Nutrient Deficiency
1.68,Dim,6.0,24 ppm,42.8C,35.4C,41,20,104,18,Normal monitoring,Water Stress
1.61,Bright,4.4,44 ppm,21.1C,16.2C,77,37,191,75,Fungal infection,Disease
1.68,Bright,4.8,19 ppm,25.6C,24.3C,45,18,108,58,Normal monitoring,Nutrient Deficiency
1.64,Bright,5.9,20 ppm,38.5C,32.4C,43,27,103,24,Normal monitoring,Water Stress
1.65,Bright,5.8,5 ppm,16.4C,17.7C,80,42,206,69,Normal monitoring,Healthy
1.62,Bright,4.3,47 ppm,39.7C,34.7C,78,35,157,76,Pest infection,Disease
1.64,Dim,4.0,47 ppm,33.3C,24.2C,65,38,161,78,Pest infection,Disease
1.6,Dim,4.0,50 ppm,39.6C,36.1C,75,31,186,68,Bacterial infection,Disease
1.62,Bright,6.0,24 ppm,42.4C,35.8C,40,27,111,21,Normal monitoring,Water Stress
1.65,Bright,4.0,33 ppm,37.1C,31.1C,68,32,173,66,Bacterial infection,Disease
1.68,Dark,6.2,7 ppm,33.7C,31.4C,84,36,203,63,Normal monitoring,Healthy
1.63,Dim,3.7,52 ppm,31.6C,22.2C,60,35,171,73,Fungal infection,Disease
1.68,Dim,5.4,11 ppm,30.9C,30.2C,40,15,105,50,Normal monitoring,Nutrient Deficiency
1.67,Dim,5.6,23 ppm,26.9C,19.2C,45,22,95,16,Normal monitoring,Water Stress
1.64,Bright,3.7,40 ppm,40.8C,32.2C,74,31,189,75,Bacterial infection,Disease
1.66,Dim,6.0,10 ppm,23.2C,24.5C,83,36,214,67,Normal monitoring,Healthy
1.66,Bright,4.7,15 ppm,37.4C,36.1C,34,12,87,53,Normal monitoring,Nutrient Deficiency
1.66,Dim,4.2,44 ppm,31.1C,25.4C,67,27,160,71,Fungal infection,Disease
1.68,Dark,6.3,6 ppm,34.6C,36.4C,78,42,211,65,Normal monitoring,Healthy
1.65,Bright,6.1,8 ppm,25.4C,27.2C,82,38,215,59,Normal monitoring,Healthy
1.64,Bright,6.3,7 ppm,32.5C,32.8C,83,40,204,55,Normal monitoring,Healthy
1.61,Dark,5.6,18 ppm,23.1C,15.3C,38,27,95,23,Normal monitoring,Water Stress
1.64,Bright,6.3,7 ppm,34.9C,33.9C,85,47,192,66,Normal monitoring,Healthy
1.67,Dim,3.9,40 ppm,34.7C,29.5C,76,28,191,65,Bacterial infection,Disease
1.67,Bright,6.1,14 ppm,35.5C,32.7C,87,35,215,59,Normal monitoring,Healthy
1.62,Dim,4.2,43 ppm,34.5C,27.7C,51,25,130,74,Viral infection,Disease
1.59,Dark,6.0,18 ppm,41.4C,34.8C,39,27,106,17,Normal monitoring,Water Stress
1.63,Bright,4.4,38 ppm,39.7C,36.0C,67,36,144,78,Viral infection,Disease
1.66,Dim,5.4,15 ppm,37.1C,33.4C,21,12,106,64,Normal monitoring,Nutrient Deficiency
1.66,Dark,5.8,15 ppm,41.7C,34.6C,47,15,112,18,Normal monitoring,Water Stress
1.63,Bright,4.7,14 ppm,35.2C,31.9C,42,14,111,57,Normal monitoring,Nutrient Deficiency
1.67,Dim,3.9,37 ppm,42.0C,33.9C,68,30,196,73,Fungal infection,Disease
1.68,Dim,4.5,48 ppm,32.4C,28.1C,78,33,199,79,Pest infection,Disease
1.6,Bright,5.7,21 ppm,19.7C,12.8C,36,25,99,12,Normal monitoring,Water Stress
1.61,Bright,3.5,41 ppm,32.5C,29.0C,75,38,159,83,Fungal infection,Disease
1.65,Bright,5.1,19 ppm,17.9C,16.0C,27,18,110,62,Normal monitoring,Nutrient Deficiency
1.65,Dim,5.8,17 ppm,30.1C,23.8C,47,19,124,19,Normal monitoring,Water Stress
1.69,Dark,4.8,10 ppm,22.2C,19.7C,38,13,113,62,Normal monitoring,Nutrient Deficiency
1.66,Dim,4.9,14 ppm,20.6C,18.9C,38,16,83,54,Normal monitoring,Nutrient Deficiency
1.62,Bright,6.1,13 ppm,17.7C,16.1C,89,36,215,65,Normal monitoring,Healthy
1.63,Bright,6.4,9 ppm,21.0C,20.7C,86,48,215,60,Normal monitoring,Healthy
1.61,Dim,5.4,11 ppm,25.3C,24.8C,30,11,85,51,Normal monitoring,Nutrient Deficiency
1.68,Dim,5.9,17 ppm,39.6C,32.7C,47,24,128,13,Normal monitoring,Water Stress
1.63,Bright,5.9,5 ppm,26.8C,27.7C,76,35,212,59,Normal monitoring,Healthy
1.69,Dark,4.5,19 ppm,34.0C,30.2C,20,19,99,58,Normal monitoring,Nutrient Deficiency
1.64,Bright,6.0,16 ppm,37.9C,30.0C,35,24,122,14,Normal monitoring,Water Stress
1.64,Bright,4.7,11 ppm,25.2C,22.6C,30,16,94,53,Normal monitoring,Nutrient Deficiency
1.64,Bright,4.0,62 ppm,43.3C,33.8C,64,28,154,82,Fungal infection,Disease
1.63,Dim,3.9,33 ppm,24.0C,18.3C,69,39,165,70,Bacterial infection,Disease
